,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,20.2510917,1.3285443,915.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,25.6212744,0.6619483,4349.1189,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,25.591109,0.803151,2952.0213,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,15.7465131,0.468124,6054.1126,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,14.2444659,0.2229551,24573.8737,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,15.8007733,0.4710941,5994.7515,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,10.2265157,0.4515805,4502.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,10.7201309,1.2525985,610.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,11.3389737,0.8510523,1388.0146,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,18.9311494,0.2833682,19113.0,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,24.977328,0.491027,7771.9115,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,17.5458716,1.0520972,1307.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,27.2382446,0.6684801,4435.1192,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,24.9077365,0.8982443,2318.1445,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,19.4498925,0.3589274,12161.022,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,23.2775817,0.5011462,7111.0107,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,25.1763212,0.7416446,3424.8353,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,22.2715837,0.6262868,4413.5123,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,22.4075701,0.6386166,4263.1808,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,10.3393021,0.3956174,5923.012,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,14.2841489,0.5271526,4405.9829,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,10.8579623,0.6530957,2269.2234,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,14.6363229,0.3283301,11590.009,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,17.4922172,0.5089612,5571.4777,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,28.8989962,0.5774156,6162.8473,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,25.9595578,0.8377505,2738.6526,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,22.389846,1.0223746,1662.4536,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,18.0660869,0.3844485,10015.0124,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,31.0909461,1.501674,950.0772,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,23.9596042,0.9196939,2153.9588,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,8.1276529,0.5967589,2096.7766,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,9.4900574,0.3542904,6842.9976,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,14.5086044,0.7701924,2090.9786,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,16.7552864,0.7880951,2245.6975,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,9.6834832,0.2445242,14626.9987,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,17.0778108,0.3390087,12321.9993,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,27.3568298,0.6621486,4532.6229,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,12.4017273,0.4983972,4373.4745,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,13.3986224,0.2854247,14243.0099,state,fb-survey
