,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,80.0138313,1.4882597,722.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,84.7271577,0.6297339,3263.0853,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,84.8968686,0.7624091,2205.8834,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,86.9842085,0.488165,4750.92,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,91.5621634,0.1999577,19322.8455,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,86.4145022,0.4994766,4705.783,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,92.8244056,0.4368651,3490.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,95.9782609,0.9170374,459.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,92.6567888,0.7981657,1068.0146,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,86.8228347,0.2785232,14747.9999,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,83.1705098,0.4899491,5830.9366,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,93.6764706,0.762444,1019.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,75.137536,0.7378689,3431.1735,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,70.9332435,1.081723,1762.034,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,88.028619,0.336767,9291.9997,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,83.9690931,0.5005299,5373.0085,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,81.2298594,0.7640375,2611.884,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,86.4992305,0.5927436,3323.8164,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,82.6911366,0.6672076,3215.1823,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,93.2112439,0.372599,4558.009,state,fb-survey
20,md,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,94.0991702,0.4073686,3345.9835,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,85.5148375,0.8346209,1778.2234,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,86.4957224,0.3613015,8948.0111,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,86.2378591,0.5219508,4356.37,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,79.3223326,0.5933376,4659.0058,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,85.9222937,0.7694884,2042.8365,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,77.6955159,1.1646716,1277.5595,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,86.2987735,0.3934779,7637.0089,state,fb-survey
28,nd,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,66.1779799,1.7695017,714.8437,state,fb-survey
29,ne,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,78.3955086,1.0049546,1677.0358,state,fb-survey
30,nh,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,86.1509675,0.8644059,1596.7766,state,fb-survey
31,nj,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,91.1150464,0.3885611,5361.9982,state,fb-survey
32,nm,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,91.0289734,0.7196169,1576.9543,state,fb-survey
33,nv,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,88.1545819,0.7760817,1733.7256,state,fb-survey
34,ny,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,91.6911144,0.2602771,11245.9992,state,fb-survey
35,oh,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,85.3454659,0.3671942,9275.9998,state,fb-survey
36,ok,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,76.8351817,0.7298199,3341.6241,state,fb-survey
37,or,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,88.800614,0.5506012,3280.4683,state,fb-survey
38,pa,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,86.1884278,0.3301526,10921.0064,state,fb-survey
39,ri,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,92.6192381,0.8715295,899.991,state,fb-survey
40,sc,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,83.1031076,0.5381284,4849.0013,state,fb-survey
41,sd,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,61.0248074,1.6818572,840.846,state,fb-survey
42,tn,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,81.6590161,0.546149,5021.1657,state,fb-survey
43,tx,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,88.0036758,0.2641833,15126.4988,state,fb-survey
44,ut,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,79.2263835,0.8168804,2466.4086,state,fb-survey
45,va,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,89.6890549,0.3764689,6524.9876,state,fb-survey
46,vt,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,91.1011546,1.0194863,780.0002,state,fb-survey
47,wa,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,90.5064361,0.3717026,6218.9571,state,fb-survey
48,wi,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,83.6289534,0.5195502,5071.9872,state,fb-survey
49,wv,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,81.757872,0.9007654,1838.1533,state,fb-survey
50,wy,smoothed_wearing_mask,2020-09-13,,2020-10-05,22,61.734108,1.9567284,616.9869,state,fb-survey
0,ak,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,80.1531213,1.3696462,848.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,84.6446717,0.5849096,3799.105,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,85.2962239,0.689267,2639.8774,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,86.8998866,0.4491114,5643.9893,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,91.6624796,0.1843241,22493.8714,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,86.4403933,0.4599361,5540.7529,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,92.8271605,0.4055171,4049.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,96.5355805,0.7921279,533.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,92.9025405,0.7233983,1260.0146,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,86.7982713,0.2570003,17349.0006,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,83.1448724,0.4537412,6806.9283,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,93.1107354,0.7366778,1182.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,75.4823532,0.6801027,4001.0619,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,70.9509121,0.998793,2066.0439,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,87.9133512,0.3133043,10825.0,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,83.8179008,0.4642551,6293.0079,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,81.3529773,0.7030744,3068.8831,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,86.6579253,0.54375,3910.5071,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,82.6086764,0.6173843,3769.1817,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,93.2928108,0.3421848,5344.011,state,fb-survey
20,md,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,94.0741471,0.3737877,3989.9833,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,85.5228186,0.7722288,2076.2234,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,86.2806548,0.3373052,10404.0097,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,85.7655019,0.4890686,5104.0532,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,79.1752464,0.5523654,5404.0128,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,86.2001975,0.7106167,2355.6475,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,77.9232484,1.0652445,1516.0153,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,86.0500186,0.3661044,8956.0105,state,fb-survey
28,nd,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,66.6003091,1.6465221,820.5094,state,fb-survey
29,ne,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,78.3532591,0.9248389,1982.9758,state,fb-survey
30,nh,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,85.8507383,0.8066641,1866.7766,state,fb-survey
31,nj,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,91.1256078,0.3565833,6359.9979,state,fb-survey
