,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_cli,2020-09-13,,2020-10-05,22,0.4327406,0.1792092,956.0,state,fb-survey
1,al,smoothed_cli,2020-09-13,,2020-10-05,22,0.8035639,0.1124035,4622.1283,state,fb-survey
2,ar,smoothed_cli,2020-09-13,,2020-10-05,22,0.8130181,0.147334,3102.0211,state,fb-survey
3,az,smoothed_cli,2020-09-13,,2020-10-05,22,0.4532763,0.0736733,6417.1126,state,fb-survey
4,ca,smoothed_cli,2020-09-13,,2020-10-05,22,0.3877519,0.0331591,26573.9896,state,fb-survey
5,co,smoothed_cli,2020-09-13,,2020-10-05,22,0.5176039,0.0801835,6298.7515,state,fb-survey
6,ct,smoothed_cli,2020-09-13,,2020-10-05,22,0.3106938,0.0696595,4778.0,state,fb-survey
7,dc,smoothed_cli,2020-09-13,,2020-10-05,22,0.0,0.0775194,644.0,state,fb-survey
8,de,smoothed_cli,2020-09-13,,2020-10-05,22,0.4541545,0.1639455,1461.0146,state,fb-survey
9,fl,smoothed_cli,2020-09-13,,2020-10-05,22,0.6661103,0.0497888,20601.9999,state,fb-survey
10,ga,smoothed_cli,2020-09-13,,2020-10-05,22,0.6166066,0.0741444,8307.9071,state,fb-survey
11,hi,smoothed_cli,2020-09-13,,2020-10-05,22,0.4264448,0.1581104,1392.0,state,fb-survey
12,ia,smoothed_cli,2020-09-13,,2020-10-05,22,0.9126437,0.1256154,4687.0556,state,fb-survey
13,id,smoothed_cli,2020-09-13,,2020-10-05,22,0.7925263,0.1502502,2412.1447,state,fb-survey
14,il,smoothed_cli,2020-09-13,,2020-10-05,22,0.6222081,0.0624519,12914.0216,state,fb-survey
15,in,smoothed_cli,2020-09-13,,2020-10-05,22,0.7044317,0.0834409,7463.0145,state,fb-survey
16,ks,smoothed_cli,2020-09-13,,2020-10-05,22,0.700213,0.1174341,3582.8352,state,fb-survey
17,ky,smoothed_cli,2020-09-13,,2020-10-05,22,0.4996788,0.089849,4668.5126,state,fb-survey
18,la,smoothed_cli,2020-09-13,,2020-10-05,22,0.705426,0.1077464,4550.1806,state,fb-survey
19,ma,smoothed_cli,2020-09-13,,2020-10-05,22,0.3326836,0.0675075,6325.0135,state,fb-survey
20,md,smoothed_cli,2020-09-13,,2020-10-05,22,0.3735793,0.0771513,4761.9829,state,fb-survey
21,me,smoothed_cli,2020-09-13,,2020-10-05,22,0.3162512,0.1063469,2366.2234,state,fb-survey
22,mi,smoothed_cli,2020-09-13,,2020-10-05,22,0.3865225,0.0488472,12148.0084,state,fb-survey
23,mn,smoothed_cli,2020-09-13,,2020-10-05,22,0.5428879,0.0867339,5839.5799,state,fb-survey
24,mo,smoothed_cli,2020-09-13,,2020-10-05,22,0.9959917,0.1073628,6460.8536,state,fb-survey
25,ms,smoothed_cli,2020-09-13,,2020-10-05,22,0.9817458,0.1584813,2940.6472,state,fb-survey
26,mt,smoothed_cli,2020-09-13,,2020-10-05,22,0.5592692,0.149737,1723.4551,state,fb-survey
27,nc,smoothed_cli,2020-09-13,,2020-10-05,22,0.5836322,0.0642149,10602.0136,state,fb-survey
28,nd,smoothed_cli,2020-09-13,,2020-10-05,22,0.6472216,0.2337585,995.2053,state,fb-survey
